voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Chocolate cake,3.05,50.85,0.27166666666666667,35.46666666666667,146.0,281.5,0.006391666666666667,2.000166666666667,0.8330000000000001,2.207,0.12183333333333334,0.06733333333333333,0.0003066666666666666,0.050166666666666665,3.8793999999999995,0.004316666666666667
Chocolate cake with fruits,1.1,44.17142857142857,0.197,20.400000000000002,97.85714285714286,158.28571428571428,0.001,0.9897142857142857,0.5748571428571428,1.1462857142857141,0.114,0.09085714285714286,0.0003,0.05842857142857143,1.7568000000000001,0.004
Chocolate coated confectionery,3.09,128.36666666666667,0.15466666666666665,32.5,143.26666666666668,230.48333333333335,0.0014000000000000002,1.0426,0.7265,1.9266666666666665,0.32866666666666666,0.050499999999999996,0.00026333333333333336,0.034833333333333334,2.2923999999999998,0.004
Chocolate coated dried fruit,0.9,4.0,0.059,17.0,170.0,272.0,0.0065,1.6,3.9,8.17,0.138,0.032,0.0014,0.32,0.9,0.0
Chocolate liqueur,0.0,1.0,0.03428571428571429,3.0,6.0,30.0,,0.06,0.03,0.144,0.012,0.004,0.0,0.0,0.0,0.0
Chocolate sauce,0.289,88.5,0.13466666666666668,31.666666666666668,102.5,200.66666666666666,,2.2419999999999995,0.6126666666666667,0.747,0.134,0.033,0.0003,0.038,0.33340000000000003,0.001
Chokecherries,,50.9,0.26,54.0,56.0,643.0,0.002,1.0,5.1,2.1,0.09,0.03,0.0,0.13,,
Chorizo and similar,0.15,27.333333333333332,0.081,21.583333333333332,258.8333333333333,331.0,0.008266666666666667,1.8218333333333332,2.255333333333333,9.532,0.18116666666666667,0.3868333333333333,0.00096,0.27116666666666667,0.8320000000000001,0.012416666666666666
"Chorizo and similar, QUAL Low fat (naturally or reduced)",0.17,19.428571428571427,0.154,27.485714285714288,209.71428571428572,372.2285714285714,0.0079,1.24,2.38,11.798999999999998,0.16785714285714287,0.4864285714285715,0.0008714285714285715,0.5142857142857143,0.542,0.005200000000000001
Choux pastry doughs,0.822,29.285714285714285,0.04642857142857143,7.285714285714286,78.28571428571429,76.71428571428571,0.003,0.7614285714285715,0.572,1.6342857142857146,0.125,0.06499999999999999,0.0006,0.042857142857142864,2.2572,0.003
"Choux pastry doughs, PROCESS Baking",0.822,64.28571428571429,0.060428571428571436,10.166666666666666,93.57142857142857,133.57142857142858,0.006833333333333334,1.0551428571428572,0.5585714285714285,2.4434285714285715,0.1372857142857143,0.06614285714285714,0.0008166666666666666,0.05085714285714286,3.4844,0.003
Chutneys,,14.4,0.064,17.2,18.8,109.8,,0.8300000000000001,0.138,0.4640000000000001,0.0178,0.027,0.0,0.077,0.313,0.0
Cider,0.0,6.985714285714286,0.01634285714285714,3.9166666666666665,7.971428571428571,77.28571428571429,0.0,0.3871428571428571,0.12,0.022857142857142857,0.007,0.001,0.0,0.0128,0.0,0.0
Cinnamon bark and similar-,2.32,1163.7142857142858,0.38133333333333336,58.166666666666664,61.714285714285715,480.2857142857143,0.006733333333333333,29.591428571428573,1.9385714285714286,1.7031428571428573,0.11171428571428572,0.16199999999999998,0.0,0.219,0.7799999999999999,0.0
Citrons,,33.0,0.065,6.0,18.0,102.0,,0.6,0.11,0.25,0.02,0.03,0.0,0.043000000000000003,,
Citrus fruit peel,0.0,121.57142857142857,0.09428571428571429,12.714285714285714,9.428571428571429,100.85714285714286,0.002,0.9857142857142858,0.16,0.7574285714285713,0.08,0.06,0.0,0.17800000000000002,0.0,0.0
Clams,0.5,69.0,0.208,50.0,151.0,311.0,,7.5,2.0,3.9,0.19,0.1,0.002,0.07,0.5,0.0
"Clams, PROCESS Baking",0.909,28.0,0.208,33.0,218.0,294.0,,4.322,2.215,4.195,0.24,0.155,0.0087,0.074,0.909,0.0
"Clams, PROCESS Cooking in water",0.933,39.285714285714285,0.24885714285714286,21.585714285714285,173.71428571428572,253.14285714285714,0.0518,7.999428571428572,1.8860000000000003,3.393,0.17271428571428574,0.11085714285714286,0.0215,0.09771428571428573,0.9732,0.0
"Clams, PROCESS Frying",0.909,28.0,0.208,33.0,218.0,294.0,,4.322,2.215,4.195,0.24,0.155,0.0087,0.074,0.909,0.0
"Clams, PROCESS Steaming",0.789,25.0,0.181,29.0,189.0,255.0,,3.752,1.923,3.648,0.208,0.135,0.0076,0.064,0.789,0.0
"Clams, cockles, arkshells",2.125,42.82857142857143,0.5985714285714286,45.6,193.57142857142858,256.7142857142857,0.04502,4.050285714285715,7.339428571428571,4.3428571428571425,0.25,0.11142857142857143,0.0018,0.09028571428571429,0.7859999999999999,0.0
"Clams, cockles, arkshells, PROCESS Baking",0.909,28.0,0.208,33.0,218.0,294.0,,4.322,2.215,4.195,0.24,0.155,0.0087,0.074,0.909,0.0
"Clams, cockles, arkshells, PROCESS Cooking in water",0.933,53.199999999999996,0.19533333333333333,44.800000000000004,207.33333333333334,217.66666666666666,0.03573333333333333,7.058,2.1310000000000002,5.031,0.25733333333333336,0.08449999999999999,0.0134,0.074,2.0065999999999997,0.0
"Clams, cockles, arkshells, PROCESS Frying",0.909,28.0,0.208,33.0,218.0,294.0,,4.322,2.215,4.195,0.24,0.155,0.0087,0.074,0.909,0.0
"Clams, cockles, arkshells, PROCESS Steaming",0.789,34.0,0.19066666666666665,32.0,189.33333333333334,216.66666666666666,0.043000000000000003,4.768,2.0486666666666666,5.043333333333334,0.26533333333333337,0.09666666666666668,0.0124,0.06266666666666666,0.8934000000000001,0.0
Cloudberries,1.65,15.242857142857144,0.09271428571428572,14.714285714285714,19.142857142857142,135.42857142857142,0.00017416666666666668,0.7699999999999999,0.4714285714285714,0.5214285714285715,0.038571428571428576,0.038571428571428576,0.0,0.07142857142857142,0.6799999999999999,0.0
Cloves buds,0.0,730.0,0.48999999999999994,260.0,110.0,1100.0,,5.6,2.2,2.817,0.27,0.11,0.0,0.0,0.0,0.0
Cockles,,56.0,,58.0,159.0,62.0,,5.9,1.1,3.9,0.11,0.05,0.041,0.04,,
"Cockles, PROCESS Cooking in water",,91.0,0.38,46.0,140.0,110.0,0.043,28.0,2.1,3.8,0.11,0.05,0.047,0.04,,
"Cockles, PROCESS Steaming",,91.0,0.38,46.0,140.0,110.0,0.043,28.0,2.1,3.8,0.11,0.05,0.047,0.04,,
Cocktail drink,0.1,6.16,0.02136666666666667,5.546666666666667,13.65,85.55,0.00017,0.41,0.0805,0.15,0.018833333333333334,0.023500000000000004,0.0,0.030666666666666665,0.09000000000000001,0.0
Cocoa beans (fermented or dried),4.777,154.0,4.15,545.0,729.0,3660.0,,46.8,6.85,8.077,0.18,0.12,0.0012,0.34,4.777,0.004
Cocoa beverages,0.046,110.0,0.11599999999999999,20.37142857142857,95.0,196.85714285714286,0.0012220000000000002,0.41428571428571426,0.5025714285714286,0.997,0.16185714285714287,0.04585714285714286,0.00024857142857142857,0.03642857142857143,0.1238,0.0
"Cocoa beverages, QUAL Low / Reduced sugar",0.058,84.0,0.09285714285714286,18.428571428571427,72.0,161.14285714285714,0.002,0.8592857142857142,0.3771428571428571,0.595,0.16357142857142856,0.024285714285714282,0.00012857142857142858,0.1285714285714286,0.058,0.001
"Cocoa beverages, QUAL Sugar free",0.058,98.0,0.09042857142857143,18.285714285714285,70.14285714285714,162.0,,0.8702857142857142,0.32628571428571423,0.595,0.12600000000000003,0.020714285714285713,0.00019714285714285716,0.025714285714285714,0.0748,0.001
Cocoa butter,1.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1300000000000001,0.015
Cocoa mass,4.777,131.71428571428572,4.0,541.1428571428571,728.5714285714286,3537.0,0.0032,35.31428571428571,7.385714285714285,8.077,0.19714285714285712,0.10714285714285714,0.0012,0.23285714285714287,2.2108,0.004
Cocoa powder,0.4,111.38571428571429,0.5542857142857143,408.2857142857143,597.8571428571429,3228.0,0.007042857142857143,17.2,5.2128571428571435,7.1201428571428576,0.1637142857142857,0.1571428571428571,0.0008666666666666666,0.26857142857142857,0.44000000000000006,0.004
"Cocoa powder, QUAL Low / Reduced sugar",4.777,154.0,0.5542857142857143,545.0,729.0,3660.0,,46.8,6.85,8.077,0.18,0.12,0.0012,0.34,4.777,0.004
"Cocoa powder, QUAL Sugar free",4.777,154.0,0.5542857142857143,545.0,729.0,3660.0,,46.8,6.85,8.077,0.18,0.12,0.0012,0.34,4.777,0.004
Coconut milk (cocos nucifera) liquid,0.2,21.333333333333332,0.21550000000000002,40.666666666666664,74.5,240.33333333333334,0.0025666666666666667,2.233333333333333,0.4266666666666667,0.5333333333333333,0.04,0.026000000000000002,0.0,0.029666666666666664,0.7,0.0
Coconut oil/fat,0.09,0.0,0.002,0.0,1.0,0.0,0.0,0.032,0.0,0.117,0.0,0.0,0.0,0.0,0.8939999999999999,0.01
Coconuts,0.73,15.214285714285714,0.3496666666666666,40.214285714285715,102.0,351.2857142857143,0.0031142857142857144,1.967142857142857,0.6692857142857144,1.8385714285714287,0.014714285714285716,0.05242857142857143,0.0,0.052,0.522,0.0
"Coconuts, PROCESS Drying (dehydration)",0.55,20.928571428571427,0.605857142857143,90.85714285714286,175.0,668.2857142857143,0.009371428571428572,3.3642857142857143,1.237142857142857,1.8855714285714285,0.05833333333333334,0.039714285714285716,0.0,0.13914285714285715,1.005,0.0
Cod,1.0,21.2,0.0812,22.8,174.6,320.4,0.027100000000000003,0.38,0.7140000000000001,6.16,0.06999999999999999,0.05,0.001006,0.2092,0.4283333333333334,0.0
Cod liver,20.0,10.0,0.66,8.0,100.0,130.0,0.0525,3.2399999999999998,1.94,3.335714285714286,0.5614285714285715,0.09142857142857143,0.01017142857142857,0.15,20.0,0.0
Cod liver oil,30.0,1.075,0.007857142857142858,0.08,1.0,1.0,5e-06,0.074,0.06,0.0,0.0,0.0,0.0,0.0,23.96,0.0
Cod roe,10.0,14.714285714285714,0.19685714285714284,11.571428571428571,450.0,223.14285714285714,,1.042857142857143,1.842857142857143,5.488142857142857,0.6900000000000001,1.062857142857143,0.013014285714285714,0.23714285714285716,10.0,0.0
"Cod roe, PROCESS Smoking",1.018,8.2,0.082,12.800000000000002,453.0,280.0,0.052,1.11,4.3,8.44,0.714,0.25,0.0012,0.204,1.018,0.0
"Cod, PROCESS Boiling",,22.0,0.071,35.0,160.0,100.0,0.052,1.8,0.413,8.44,0.046,0.056,0.0012,0.204,1.018,0.0
"Cod, PROCESS Drying (dehydration)",,31.0,0.071,45.0,562.0,100.0,0.052,2.3,0.413,8.44,0.28,0.05,0.0012,0.204,1.018,0.0
"Cod, PROCESS Preserving with salt",,71.0,0.071,45.0,224.0,346.0,0.052,0.343,0.413,8.44,0.046,0.056,0.0012,0.204,1.018,0.0
"Cod, STATE Slices, steaks or other flat cuts",,28.0,0.053,24.0,194.0,340.0,0.029,0.32,0.398,6.3,0.046,0.055,0.0012,0.2,1.0,0.0
"Cod, atlantic",,18.2,0.113,15.9,157.0,208.0,0.031,0.72,1.06,6.3,0.057,0.053,0.00103,0.19,0.445,0.0
"Cod, murray",0.45,15.0,0.019,25.0,200.0,338.0,0.0287,0.2,0.38,4.83,0.04,0.05,0.00111,0.221,0.45,0.0
"Cod, murray, PROCESS Cooking in water",0.0,,,,,,,,,3.63,0.03,0.01,,,0.0,0.0
"Cod, murray, PROCESS Frying",,,,,,,,,,1.0,0.05,0.02,,,,
"Cod, murray, PROCESS Steaming",0.0,,,,,,,,,3.63,0.03,0.01,,,0.0,0.0
"Cods, hakes, haddocks",,,,,,,,,,,0.048,0.05,,,,0.0
"Cods, hakes, haddocks, PROCESS Baking",1.127,22.97142857142857,0.037571428571428575,26.97142857142857,199.0,349.57142857142856,0.03068571428571429,0.19814285714285715,0.4918571428571429,6.3064285714285715,0.048285714285714286,0.038142857142857145,0.0017000000000000001,0.20157142857142857,0.6973999999999999,0.0
"Cods, hakes, haddocks, PROCESS Cooking in water",0.8079999999999999,19.857142857142858,0.03142857142857143,22.857142857142858,243.71428571428572,344.85714285714283,0.0306,0.22085714285714286,0.48628571428571427,5.551571428571429,0.04028571428571429,0.039142857142857146,0.0017714285714285714,0.1677142857142857,0.524,0.0
"Cods, hakes, haddocks, PROCESS Frying",1.127,28.0,0.052142857142857144,26.285714285714285,207.85714285714286,330.7142857142857,0.037,0.29214285714285715,0.4864285714285714,6.467,0.05,0.04828571428571428,0.0014999999999999998,0.193,1.1562,0.0
"Cods, hakes, haddocks, PROCESS Steaming",1.136,21.142857142857142,0.038571428571428576,24.428571428571427,224.57142857142858,345.7142857142857,0.029742857142857144,0.20985714285714288,0.5094285714285715,5.584857142857143,0.04757142857142858,0.03942857142857143,0.0017142857142857144,0.17785714285714285,0.5591999999999999,0.0
Coffee (average strenght) beverage,,3.4799999999999995,0.036199999999999996,7.4879999999999995,4.5,80.4,7.500000000000001e-05,0.16699999999999998,0.01975,0.7,0.02,0.00875,0.0,0.001,0.011,0.0
Coffee (weak strenght) beverage,,2.857142857142857,0.03457142857142857,4.857142857142857,14.0,56.42857142857143,0.0,0.12714285714285714,0.017142857142857144,0.49228571428571427,0.02057142857142857,0.0054285714285714284,0.0,0.0,0.011,0.0
"Coffee beans, roasted",2.7,122.85714285714286,1.3414285714285714,240.0,160.0,2020.0,0.008571428571428572,4.1,0.7671428571428571,16.821428571428573,0.2,0.07,0.0,0.001,2.7000000000000006,0.0
Coffee beverage decaffeinated,0.0,3.042857142857143,0.045142857142857144,4.8,4.042857142857143,70.71428571428571,0.0001,0.11142857142857143,0.027142857142857142,1.413285714285714,0.044,0.001,0.0,0.001,0.0,0.0
"Coffee drink, caf macchiato",0.034,107.0,0.019,11.0,83.0,147.0,,0.059,0.391,0.697,0.164,0.034,0.0004,0.042,0.034,0.0
"Coffee drink, cappuccino",0.035,58.714285714285715,0.05500000000000001,8.714285714285714,45.0,101.0,0.001,0.12142857142857144,0.19214285714285714,0.695,0.08785714285714286,0.016428571428571428,0.00020285714285714286,0.018,0.035,0.0
Coffee espresso (beverage),,2.7142857142857144,0.038571428571428576,80.0,8.0,120.14285714285714,0.0,0.13999999999999999,0.06142857142857143,5.207857142857143,0.11928571428571429,0.005375,0.0,0.0015,0.011,0.0
"Coffee ground, roasted",2.7,122.85714285714286,1.55,240.0,160.0,2020.0,0.01,4.1,0.79,16.821428571428573,0.2,0.07,0.0,0.001,2.7,0.0
"Coffee ground, roasted and decaffeinated",,130.0,0.82,240.0,160.0,2020.0,0.005,4.1,0.71,10.0,0.2,0.07,0.0,,,
Coffee liqueur,0.0,1.0,0.028285714285714286,3.0,6.0,30.0,,0.076,0.078,0.11885714285714286,0.012,0.004,0.0,0.0,0.0,0.0
Coffee with milk or cream,0.002,23.485714285714288,0.047714285714285716,7.0,18.885714285714283,74.85714285714286,0.0006,0.16357142857142856,0.08842857142857143,0.733,0.04642857142857143,0.012857142857142859,0.0002,0.007166666666666666,0.014,0.0
"Cola beverages, caffeinic",0.0,3.857142857142857,0.009428571428571429,1.1333333333333333,16.714285714285715,1.1199999999999999,0.0001,0.05,0.046400000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cola beverages, decaffeinated",0.0,3.142857142857143,0.02,1.0,8.4,1.0,0.0001,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cola mix, flavoured cola",0.005,6.428571428571429,0.015,1.2857142857142858,11.142857142857142,1.0,0.0001,0.1366,0.017833333333333336,0.0,0.0,0.0,0.0,0.0,0.005,0.0
Cola-type drinks,0.0,5.714285714285714,0.009999999999999998,1.1666666666666667,23.2,1.1666666666666667,0.0001,0.03,0.011999999999999999,4.25,0.0,0.025,0.00175,0.42,0.0,0.0
Common banana,0.375,6.257142857142857,0.10828571428571429,31.057142857142857,24.0,379.85714285714283,0.001157142857142857,0.41028571428571425,0.1902857142857143,0.9571428571428571,0.06242857142857143,0.041999999999999996,0.0,0.42342857142857143,0.264,0.0
"Common banana, PROCESS Baking",0.7,8.116666666666667,0.10621666666666667,27.666666666666668,22.5,308.28333333333336,0.0006666666666666666,0.3606666666666667,0.16316666666666665,0.9416666666666668,0.057166666666666664,0.04,0.0001,0.3443333333333333,0.45760000000000006,0.0
"Common banana, PROCESS Cooking in water",0.309,7.0,0.124,27.0,20.0,252.0,,0.363,0.185,1.028,0.052,0.033,0.0,0.291,0.309,0.0
"Common banana, PROCESS Steaming",0.3,7.0,0.114,30.0,22.0,306.0,,0.372,0.18,1.047,0.054,0.035,0.0,0.323,0.3,0.0
Common bean sprouts,0.09,30.0,0.4,50.0,60.0,307.0,,1.0,0.5,2.6669999999999994,0.215,0.37,0.0,0.081,0.09,0.005
Common millet and similar-,0.05,18.0,0.4985714285714286,128.57142857142858,285.7142857142857,290.57142857142856,0.01,5.814285714285715,2.4257142857142857,4.827142857142857,0.18285714285714286,0.306,0.0,0.75,0.15,0.001
"Common millet and similar-, PROCESS Cooking in water",0.1,6.971428571428571,0.20028571428571432,41.199999999999996,98.42857142857143,74.28571428571429,0.0009428571428571429,2.116,1.0034285714285713,1.426,0.039,0.08371428571428571,0.0,0.17880000000000001,0.0628,0.0
"Common millet and similar-, PROCESS Steaming",0.1,6.971428571428571,0.20028571428571432,41.199999999999996,98.42857142857143,74.28571428571429,0.0009428571428571429,2.116,1.0034285714285713,1.426,0.039,0.08371428571428571,0.0,0.17880000000000001,0.0628,0.0
Common mushrooms,,8.557142857142857,0.40214285714285714,11.12857142857143,104.28571428571429,361.0,0.00715,0.5737142857142857,0.6185714285714285,5.628571428571428,0.3405714285714286,0.08757142857142856,6e-05,0.13328571428571429,0.1052,0.014000000000000002
"Common mushrooms, PROCESS Baking",0.098,12.714285714285714,0.429,17.0,145.42857142857142,455.42857142857144,,1.3605714285714285,0.641,6.772,0.491,0.09657142857142857,0.0,0.072,0.098,0.017
"Common mushrooms, PROCESS Cooking in water",1.7,12.485714285714286,0.3796,9.314285714285715,99.42857142857143,279.9428571428571,0.007314285714285713,0.7328571428571429,0.5851428571428572,5.073571428571428,0.3221428571428571,0.05814285714285715,0.0001,0.10242857142857142,0.0858,0.016
"Common mushrooms, PROCESS Frying",2.84,7.428571428571429,0.3842857142857143,18.0,100.14285714285714,350.0,0.012142857142857144,0.9,0.5085714285714286,2.9142857142857146,0.33285714285714285,0.08714285714285715,0.0,0.17242857142857143,2.392,
"Common mushrooms, PROCESS Steaming",1.7,12.914285714285715,0.39617142857142856,10.457142857142857,105.28571428571429,314.65714285714284,0.007314285714285713,0.7795714285714286,0.6162857142857143,6.6571428571428575,0.3538571428571428,0.06314285714285714,0.0001,0.10671428571428572,0.088,0.017
Common nettle,4.205,579.1428571428571,0.25,81.2,108.57142857142857,540.0,0.0003,4.213333333333334,1.082857142857143,3.733,0.13142857142857142,0.17285714285714285,0.0001,0.16285714285714287,0.976,0.0
Common wheat grain,1.4,28.514285714285712,0.2814285714285714,80.42857142857143,248.28571428571428,317.14285714285717,0.004485714285714286,2.607428571428571,2.157142857142857,6.285714285714286,0.09371428571428572,0.31,0.0,0.251,0.76,0.0026
Condensed milk (sometimes with added sugars),0.2,285.85714285714283,0.03485714285714286,26.285714285714285,238.28571428571428,348.42857142857144,0.0026857142857142856,0.18085714285714286,0.9085714285714286,2.2164285714285716,0.4858571428571428,0.08685714285714285,0.00098,0.12114285714285715,0.2165,0.0
Conger,8.0,17.0,0.087,26.0,334.0,280.0,,0.867,2.048,5.6,0.32,0.18,0.001,0.28,8.0,0.0
"Conger, PROCESS Baking",8.893,20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404000000000001,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, PROCESS Cooking in water",8.771,20.0,0.08357142857142856,24.714285714285715,309.2857142857143,271.42857142857144,0.03,0.9042857142857142,2.218571428571429,5.348999999999999,0.34142857142857147,0.1492857142857143,0.0019285714285714288,0.23642857142857143,6.902600000000001,0.0
"Conger, PROCESS Frying",8.893,20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404000000000001,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, PROCESS Steaming",8.771,20.0,0.08357142857142856,24.714285714285715,309.2857142857143,271.42857142857144,0.03,0.9042857142857142,2.218571428571429,5.348999999999999,0.34142857142857147,0.1492857142857143,0.0019285714285714288,0.23642857142857143,6.902600000000001,0.0
"Conger, european",8.0,32.42857142857143,0.11928571428571429,24.285714285714285,315.7142857142857,268.57142857142856,,0.9907142857142858,1.7200000000000002,6.485714285714286,0.24,0.1457142857142857,0.0015714285714285713,0.28,8.0,0.0
"Conger, european, PROCESS Baking",8.893,38.57142857142857,0.13857142857142857,26.857142857142858,347.14285714285717,285.0,,1.0557142857142858,2.0564285714285715,7.433571428571428,0.25642857142857145,0.13999999999999999,0.0019285714285714288,0.267,8.893,0.0
"Conger, european, PROCESS Cooking in water",8.771,20.0,0.08357142857142856,24.714285714285715,309.2857142857143,271.42857142857144,0.03,0.9042857142857142,2.218571428571429,5.348999999999999,0.34142857142857147,0.1492857142857143,0.0019285714285714288,0.23642857142857143,6.902600000000001,0.0
"Conger, european, PROCESS Frying",8.893,20.0,0.098,28.0,358.0,283.0,,0.878,2.439,5.404000000000001,0.343,0.172,0.0011,0.267,8.893,0.0
"Conger, european, PROCESS Steaming",8.771,20.0,0.08357142857142856,24.714285714285715,309.2857142857143,271.42857142857144,0.03,0.9042857142857142,2.218571428571429,5.348999999999999,0.34142857142857147,0.1492857142857143,0.0019285714285714288,0.23642857142857143,6.902600000000001,0.0
"Continental european brown cooked sauce, gravy",0.072,7.766666666666667,0.027,3.3333333333333335,10.166666666666666,49.0,0.00020999999999999998,0.412,0.079,0.25266666666666665,0.0605,0.0085,2e-05,0.0205,2.9663999999999997,0.0
Cooked bovine tongue,0.258,17.142857142857142,0.171,13.971428571428572,158.71428571428572,164.42857142857142,0.0022,2.7544285714285714,2.5744285714285717,7.9910000000000005,0.32785714285714285,0.08314285714285716,0.0044857142857142865,0.10585714285714286,0.2756,0.0
"Cooked bratwurst-type sausage, PROCESS Baking",0.311,22.142857142857142,0.07642857142857142,20.0,111.42857142857143,226.42857142857142,,0.9485714285714286,2.051428571428571,6.891,0.17928571428571427,0.47000000000000003,0.0014999999999999998,0.31214285714285717,0.311,0.004
"Cooked bratwurst-type sausage, PROCESS Cooking in water",,13.0,0.071,22.0,96.0,233.0,0.0048,0.808,1.952,6.891,0.179,0.454,0.0016999999999999997,0.353,0.311,0.004
"Cooked bratwurst-type sausage, PROCESS Steaming",0.311,13.0,0.071,22.0,96.0,233.0,,0.808,1.952,6.891,0.179,0.454,0.0017,0.35300000000000004,0.311,0.004
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",0.765,20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.765,20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.765,20.0,0.125,24.0,187.0,323.0,,1.033,1.763,13.071,0.1,0.176,0.0007,0.439,0.765,0.003
Cooked other poultry meat,,13.0,0.08,28.0,350.0,360.0,0.011,0.4,0.8,13.9,0.18,0.05,,0.42000000000000004,0.24,
Cooked pork ham,0.3,8.290000000000001,0.07183333333333333,19.166666666666668,264.5,322.5,0.0085,0.7483333333333334,2.2416666666666667,7.722666666666666,0.15783333333333335,0.5766666666666667,0.00081,0.30933333333333335,0.1734,0.0
Cooked pork tongue,0.1,9.08,0.218,18.571428571428573,187.57142857142858,267.14285714285717,0.012,2.712285714285714,2.5508571428571427,8.53,0.48857142857142855,0.4122857142857143,0.001985714285714286,0.3322857142857143,0.5024,0.0
"Cooked sausages (generic), QUAL Low fat (naturally or reduced)",0.298,24.857142857142858,0.08071428571428571,17.857142857142858,158.71428571428572,287.57142857142856,0.006857142857142858,0.9635714285714286,1.6892857142857143,4.931428571428571,0.14857142857142858,0.42533333333333334,0.0012142857142857144,0.24857142857142858,0.2788,0.009
"Cooked sausages (generic), QUAL Low sodium / reduced salt",0.266,10.0,0.061,16.0,185.0,205.0,,2.7,1.1970000000000003,5.217,0.08,0.46,0.0009,0.306,0.266,0.009
Cooked turkey meat,0.1,10.714285714285714,0.09485714285714286,24.428571428571427,234.0,271.57142857142856,0.015285714285714288,0.9511428571428572,2.2938571428571426,12.714571428571428,0.16257142857142856,0.054285714285714284,0.0010142857142857143,0.3921428571428572,0.24,0.0
Coriander seed,,695.0,0.9714285714285714,330.0,406.42857142857144,1267.857142857143,0.026199999999999998,15.117142857142857,4.7,3.5700000000000003,0.29,0.23928571428571427,0.0,0.2571428571428572,1.9,0.0
Corn chips,0.69,82.85714285714286,0.1875,76.28571428571429,179.28571428571428,204.71428571428572,0.003057142857142857,1.512857142857143,1.3145714285714285,2.628285714285714,0.07142857142857142,0.14142857142857143,0.0,0.22614285714285715,3.444,0.005
Corn curls,0.2,34.285714285714285,0.1467142857142857,32.42857142857143,110.0,238.28571428571428,0.004171428571428572,0.9134285714285715,0.514,3.822428571428571,0.098,0.1482857142857143,0.0001333333333333333,0.1605714285714286,3.5438,0.0
Corn semolina based thick soup,,3.0,0.008,3.0,15.6,18.6,,0.2672,0.1312,0.3472,0.0124,0.040799999999999996,0.0,0.007,0.132,0.0
"Corned beef, uncooked",,26.75,0.2175,13.25,121.0,116.75,0.008,2.175,3.745,6.267,0.12,0.06,0.001,0.14,0.15,0.0
"Corned beef, uncooked, PROCESS Baking",0.183,38.0,0.326,20.0,174.0,151.0,,3.227,5.434,7.426,0.129,0.031,0.001,0.143,0.183,0.0
"Corned beef, uncooked, PROCESS Cooking in water",0.183,32.42857142857143,0.2842857142857143,18.571428571428573,164.28571428571428,142.14285714285714,0.008,3.2192857142857143,5.452857142857143,9.370714285714286,0.135,0.024999999999999998,0.0012714285714285714,0.13357142857142856,0.4258,0.0
"Corned beef, uncooked, PROCESS Frying",0.183,38.0,0.326,20.0,174.0,151.0,,3.227,5.434,7.426,0.129,0.031,0.001,0.143,0.183,0.0
"Corned beef, uncooked, PROCESS Steaming",0.183,32.42857142857143,0.2842857142857143,18.571428571428573,164.28571428571428,142.14285714285714,0.008,3.2192857142857143,5.452857142857143,9.370714285714286,0.135,0.024999999999999998,0.0012714285714285714,0.13357142857142856,0.4258,0.0
"Corned pork meat, cooked",0.14,5.13,0.05,21.5,301.0,317.0,0.010400000000000001,0.52,1.39,8.93,0.109,0.87,0.00043,0.33,0.14,
"Corned pork, uncooked, PROCESS Baking",0.324,33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
"Corned pork, uncooked, PROCESS Cooking in water",0.324,33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
"Corned pork, uncooked, PROCESS Steaming",0.324,33.0,0.142,34.0,191.0,72.0,,2.604,4.928,8.216,0.234,0.148,0.0004,0.152,0.324,0.0
Cornmeal porridge,,6.2,0.068,18.0,83.6,41.8,,0.9040000000000001,0.8168,0.9432,0.0396,0.1024,0.0,0.011,0.419,0.0
"Cornmeal porridge, INGRED Cow milk, whole",0.1,126.5,0.0105,11.8,94.8,157.2,0.0029,0.1,0.4,0.1,0.15,0.03,0.0004,0.05,0.1,
