voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Wheat bread and rolls, white with maize",,34.0,0.18,34.0,115.0,144.0,0.005,1.2,0.89,1.2,0.05,0.09,0.0,0.05500000000000001,0.1,
Wheat flour white,0.4,35.166666666666664,0.15033333333333335,18.333333333333332,90.16666666666667,150.0,0.0044,1.0778333333333332,0.644,2.9150000000000005,0.0355,0.124,0.0,0.1635,0.263,0.0
"Wheat flour, brown",1.6,43.142857142857146,0.49714285714285716,108.28571428571429,313.57142857142856,295.85714285714283,0.005571428571428572,3.6571428571428575,3.0285714285714285,7.7,0.13857142857142857,0.4428571428571429,0.0,0.32142857142857145,1.2399999999999998,0.0
"Wheat flour, durum",1.6,18.428571428571427,0.23685714285714288,136.0,201.14285714285714,239.71428571428572,0.005185714285714286,1.4715714285714285,1.5391428571428574,3.842857142857143,0.05128571428571428,0.18457142857142858,0.0,0.17185714285714285,0.2656,0.0
Wheat germ,22.1,51.42857142857143,0.91,276.7142857142857,1045.857142857143,964.1428571428571,0.004842857142857143,8.069285714285714,14.39857142857143,10.514285714285714,0.6742857142857143,1.9942857142857142,0.0,1.1845714285714286,18.02,0.004
Wheat germ oil,149.0,1.0,0.001,1.0,1.0,1.0,,0.10000000000000002,3.8,0.0,0.0,0.0,0.0,0.0,144.03,0.024
Wheat germs rolled flakes,,50.714285714285715,1.1,207.67142857142858,721.0,819.5714285714286,0.00412,6.311428571428571,11.14,7.281714285714285,0.46499999999999997,0.34025,0.0,0.3724285714285714,22.1,0.017
Wheat groats,1.6,34.142857142857146,0.42314285714285715,120.14285714285714,382.0,416.57142857142856,0.007,3.5300000000000002,2.934285714285714,4.875571428571428,0.13571428571428573,0.36342857142857143,0.0,0.31757142857142856,1.3500000000000003,0.0
Wheat rolled grains,1.0,33.0,0.37,97.0,342.0,380.0,,3.1759999999999997,2.56,7.183,0.093,0.455,0.0,0.269,1.0,0.0
Wheat semolina,0.2,15.714285714285714,0.16428571428571428,28.0,104.14285714285714,137.71428571428572,0.0029142857142857143,1.1,1.8142857142857143,3.3904285714285716,0.053714285714285714,0.1285714285714286,0.0,0.09642857142857143,0.45,0.0
